DOC CODE,DOC DESCRIPTION,PROP,FIRST PARTY,SECOND PARTY,AMOUNT,COMMENTS
FS,FINANCING STATEMENT & ASSIGNMENT,O,debtor (sig.),"lender (secured party) & assignee, if applies",N,*needs reference if continuation
FS,FINANCING STATEMENT CONTINUATION,O,debtor (sig.),"lender (secured party) & assignee, if applies",N,*needs reference if continuation
CT,FORECLOSURE CERTIFICATE,O,signatory party,borrowers,N,
TD,FORECLOSURE DEED,O,Borrowers,purchaser  (struck off to),N,"*IF sig. other than a trustee, see appropriate title depending on who is signing. Trustee not needed."
FC,FORFEITURE OF CONTRACT,O,signatory party ,Other party,N,"*IF this deals with Veterans Land Board
Grantor- person forfeiting contract
Grantee- VETERANS LAND BOARD OF STATE OF TEXAS (or State involved)"
STL,FRANCHISE TAX LIEN,O,"government agency (usually ""TEXAS STATE OF"")",Taxpayer,N,
LIC,FUNERAL LICENSE/CERTIFICATE,O,issuing,issued to,N,
CTR,GAS PURCHASE CONTRACT,O,signature (usually seller),other (usually purchaser),N,
WD,GENERAL WARRANTY DEED,O,"signature, seller",purchaser (grant sell & convey unto),N,
CEM,GIFT CEMETERY DEED ,O,signatory party,party granted to,N,
MD,GIFT COAL DEED ,O,signatory party,party granted to,N,
GD,GIFT DEED,O,signatory party,party granted to,N,
EMD,GIFT EASEMENT DEED,O,signatory party,party granted to,N,
GD,GIFT GENERAL WARRANTY DEED,O,signatory party,party granted to,N,
CV,GIFT GRAVEL DEED,O,signatory party,party granted to,N,
MD,GIFT MINERAL DEED,O,signatory party,party granted to,N,
RWD,GIFT RIGHT OF WAY DEED,O,signatory party,party granted to,N,
RYD,GIFT ROYALTY DEED ,O,signatory party,party granted to,N,
GD,GIFT SPECIAL WARRANTY DEED,O,signatory party,party granted to,N,
TBD,GIFT TIMBER DEED,O,signatory party,party granted to,N,
MD,GIFT TRUSTEES MINERAL DEED,O,signatory party,party granted to,N,
GD,GIFT WARRANTY DEED,O,signatory party,party granted to,N,
EM,GRANT OF EASEMENT,O,party granting easement,granted to,N,
CV,GRAVEL DEED,O,seller (sig.),purchaser,N,
GUA,GUARANTEE,O,signatory party  ,other party,N,"GUARDIANSHIP PROCEEDINGS
   SEE – PROBATE PROCEEDINGS
  *use certified copy date for I/date"
EM,GUY AND ANCHORAGE CONSENT,O,signatory party,party given permission to use property,N,
EM,GUY AND ANCHORAGE PERMIT,O,signatory party,party given permission to use property,N,
CT,HAZARDOUS WASTE (SUBSTANCE) INDEMNIFICATION CERTIFICATE / INDEMNITY AGREEMENT,O,signatory party,"other party OR ""PUBLIC"" (if borrower not signing they may be shown under paragraph   Titled “Borrower”.",N,
AG,HOME EQUITY COMPLIANCE CERTIFICATE AND AGREEMENT,O,signature (owner borrower),lender,N,
ALN,HOMEOWNERS ASSOCIATION ASSESSMENT (OR LIEN AFFIDAVIT/CLAIM),O,party claiming lien (sig.)   ,"party claimed against, if no name given, use UNKNOWN",N,
HOME,HOMESTEAD AFFIDAVIT,O,signatory party ,"""PUBLIC""",N,
HOME,HOMESTEAD AFFIDAVIT AS RELEASE OF JUDGMENT LIEN *use Judgment Lien Reference if given,O,signatory party ,"""PUBLIC""",N,
HOME,HOMESTEAD DESIGNATION,O,signatory party ,"""PUBLIC""",N,
DT,HOMESTEAD LIEN CONTRACT AND DEED OF TRUST,O,"signature (owner, borrower)","lender  (beneficiary, payable to the order of, justly indebted to)",N,
HOME,HOMESTEAD/NON-HOMESTEAD DECLARATION      (AFF./DESIG.),O,signatory party ,"""PUBLIC""",N,
HL,HOSPITAL LIEN **,O,signatory party & Hospital (if different from signature),injured person,N,"**Key Hospital name the way it is shown at the signature and/or in the 
       body of the document.  Don’t bother with the Letterhead unless that is
    the only place the Hospital Name is shown.  Often the signatory party is a
        representative or agent and should be indexed."
CTR,IMPROVEMENT AGREEMENT (between the City & Property Developer (owner)),O,all signatures,all signatures and the Proposed Subdivision Name,N,"*Property – do not index proposed subdivision, key instead the current description of  the property. ***If this doc. involves other than a City & a Developer, please check further Before using this instruction. ********THIS IS NOT THE SAME THING AS A “CONTRACT FOR IMPROVEMENTS”BETWEEN AN OWNER & CONTRACTOR = ML"
ID,INDENTURE,O,borrower (sig.),lender,N,"*Not often used, usually is an Indenture of ____ something.  Example if titled  Indenture of Mortgage, we would code for Mortgage."
CTR,INDUSTRIAL DISTRICT CONTRACT,O,signatures (usually City and a Company),signatures (usually City and a Company),N,
WAS,INDUSTRIAL SOLID WASTE,O,signatory party  ,"other party  Or ""PUBLIC""",N,
WAS,INDUSTRIAL SOLID WASTE CERTIFICATION OF REMEDIATION,O,signatory party  ,"other party  Or ""PUBLIC""",N,
IT,INHERITANCE TAX RECEIPT,O,government agency,Estate issued to (ESTATE after name),N,
IT         ,INHERITANCE TAX REPORT  (Affidavit for Inheritance Tax Appraisement),O,estate involved,estate involved (ESTATE after name),N,
IT,INHERITANCE TAX RETURN – DECLARATION OF NO TAX DUE,O,government agency,Estate issued to (ESTATE after name),N,
IT,INHERITANCE TAX WAIVER,O,government agency,Estate issued to (ESTATE after name),N,
IT,"INHERITANCE TAX, RELEASE OF LIEN",O,government agency,Estate issued to (ESTATE after name),N,
JV,JOINT VENTURE AGREEMENT,O,signatory party ,new Business name,N,
JUD,JUDGMENT   (CERTIFIED COPY OF),O,Plaintiff,"Defendant or ""PUBLIC""",N,"*If single party suit use PUBLIC as grantee
*If dealing with Probate, go to Probate for instructions
*use certified copy date for i/date"
PB,JUDGMENT DECLARING HEIRSHIP,O,estate  (use Deceased and/or Estate or Minor after name as shown on document.  If party is shown as incompetent/incapacitated  use Estate after Name),"""PUBLIC""",N,"**If doc shows “Succession of” treat that as “Estate of” & index ESTATE after name
Will Only – see W’s Otherwise use this code (PB) *use certified copy date for i/date
 We would not need to key ESTATE as a name designator parties on this document. Accounted for based on doc type."
ROD,JUDGMENT FOR REMOVAL OF DISABILITIES,O,Party for whom Disabilities are being Removed,"""PUBLIC""",N,
LC,LABOR & MATERIAL LIEN,O,signatory party       ,"claimed against, (contractor, owner, sub-contractor, supplier)",N,
LC,LABOR LIEN,O,signatory party       ,"claimed against, (contractor, owner, sub-contractor, supplier)",N,
LAW,LAND AWARD,O,signatory party       ,recipient,N,
WAS,LANDFILL DECLARATION DEED,O,signatory party ,"other party  Or ""PUBLIC""",N,
LC,LANDLORDS LIEN,O,signatory party (landlord),party lien claimed against,N,
WAV,LANDLORDS WAIVER ,O,signatory party (landlord),party waiver/consent given to,N,
WAV,LANDLORDS WAIVER & CONSENT,O,signatory party (landlord),party waiver/consent given to,N,
AF,LANDMAN’S STATEMENT,O,"signature & who signature represents, if any",parties affidavit is about,N,
LS,LEASE,O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
LS,LEASE AMENDMENT,O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
LS,LEASE EXTENSION,O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
MEL,LEASE MEMORANDUM,O,lessor (sig.)    ,Current lessee,N,
OGL,"LEASE OF OIL, GAS & MINERALS",O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
OGL,"LEASE OF OIL, GAS & MINERALS AGREEMENT",O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
OGL,"LEASE OF OIL, GAS & MINERALS AMENDMENT",O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
OGL,"LEASE OF OIL, GAS & MINERALS EXTENSION",O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
OGL,"LEASE OF OIL, GAS & MINERALS RENEWAL",O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
LS,LEASE RATIFICATION,O,lessor (sig.),Current lessee,N,"**IF Lessor does not sign, change Type to =  RAT  Grantor- signature  Grantee- other party"
DO,LEASE RATIFICATION & DIVISION ORDER,O,lessor (sig.),Current lessee AND IF Designation of Depository in Title also index Depository,N,
LS,LEASE RENEWAL,O,lessor (sig.)         ,Current lessee,N,"*Informational – Lessor is usually the Owner of the Land &  --Lessee would be the Owner of the Lease
**IF Lessor does not sign, change Type to = Appropriate type AM, EXT, RN, or AG  Grantor- signature  Grantee- other party
*needs reference if amendment, extension or renewal"
TLS,LEASE TERMINATION,O,signatory party ,party terminated,N,
LET,LETTER,O,signatory party       ,"recipient and parties letter concerns, if other than signatory party & recipient ",N,
LET,LETTER AGREEMENT,O,signatory party       ,"recipient and parties letter concerns, if other than signatory party & recipient ",N,
PB,LETTERS OF ADMINISTRATION,O,"Estate (use Deceased and/or Estate after Name, as shown on document) ","""PUBLIC""",N,
PB,LETTERS OF GUARDIANSHIP,O,"Estate (use Deceased and/or Estate after Name, as shown on document) ","""PUBLIC""",N,
PB,LETTERS OF TEMPORARY ADMINISTRATION,O,"Estate (use Deceased and/or Estate after Name, as shown on document) ","""PUBLIC""",N,
PAT,LETTERS PATENT,O,signatory party ,given to,N,*use certified copy date for i/date
PB,LETTERS TESTAMENTARY,O,"Estate (use Deceased and/or Estate after Name, as shown on document) ","""PUBLIC""",N,
LIC,LICENSE / CERTIFICATE,O,signatory party ,issued to,N,
AG,LICENSE AGREEMENT,O,signatory party ,authority granted to,N,
LN,LIEN   (LIEN GRANTED),O,signatory party ,lien granted to,N,
LC,LIEN AFFIDAVIT/CLAIM/NOTICE (general),O,signatory party ,"claimed against  (contractor, lessor, lessee, owner, sub-contractor, supplier)",N,
LP,LIS PENDENS  (NOTICE OF) Multi Party,O,Plaintiff,Defendant,N,"             **IF Defendant is given as; Property, Buildings etc.  Look within the document for 
      the purported property Owner & use that party as the Defendant.  
           ***IF no property Owner is found, use the actual street address of the property shown 
                   in the case set-up, 
       ie. 5890 W UNIVERSITY BLVD ODESSA ECTOR COUNTY TEXAS
                      ****IF no property address given, follow instructions for single party suit, shown above."
LP,LIS PENDENS  (NOTICE OF) Single Party,O,Plaintiff,"""PUBLIC""",N,"           ***IF no property Owner is found, use the actual street address of the property shown 
                   in the case set-up, 
       ie. 5890 W UNIVERSITY BLVD ODESSA ECTOR COUNTY TEXAS
                      ****IF no property address given, follow instructions for single party suit, shown above."
M,LIVING WILL,O,Signature,"""PUBLIC""",N,"Do not need to included ""deceased"" designation if given on document for party name(s)"
CC,"LIVING WILL, CERTIFIED COPY OF",O,Signature,"""PUBLIC""",N,"Do not need to included ""deceased"" designation if given on document for party name(s)"
CT,MANAGEMENT CERTIFICATE,O,signatory party  (usually a HomeOwners Associatiion),Property Name (usually new Subdivision. name),N,*IF someone other than the association is being made manager index that party as additional Grantee.
OD,MANDATE,O,Plaintiff,Defendant,N,"*If single party suit use PUBLIC as grantee
*If dealing with Probate, go to Probate for instructions
*use certified copy date for i/date"
ADD,MANUFACTURED HOME RIDER TO SECURITY INSTRUMENT,O,signatory party ,other party,N,
MAP,MAP,O,signature,"Name of property or ""PUBLIC""",N,"*not often used, usually will be either “Field Notes or Surveyors Plat”"
MB,MARKS AND BRANDS,O,Owners and  Business (if given),"""PUBLIC""",N,
AG,MARRIAGE AGREEMENT / PRE-NUPTIAL,O,signatures,signatures,N,
MLI,MARRIAGE LICENSE   (CERTIFIED COPY OF),O,first party,second party,N,*use certified copy date for i/date
MAD,MARSHALS DEED,O,signature & government body sig. represents (show word MARSHAL after each)  & owner (usually defendant),purchaser,N,
MDT,MASTER DEED OF TRUST,O,Person filing,"""PUBLIC""",N,"*This is a shell to be used for future loans.  Often there is no signature.  If this is the  case, find lender in text of doc. and use that name as Grantor, Public as Grantee."
LC,MATERIALMANS LIEN  (Claim),O,signatory party (party who is claiming lien),"claimed against (contractor, owner, sub-contractor, supplier)",N,
ML,MATERIALMANS LIEN CONTRACT,O,signature (owner),contractor,N,
LC,MECHANICS & MATERIALMANS LIEN  (Claim),O,signatory party (party who is claiming lien),"claimed against (contractor, owner, sub-contractor, supplier)",N,
ML,MECHANICS & MATERIALMANS LIEN CONTRACT    ,O,signature (owner),contractor,N,
ML,MECHANICS LIEN (CONTRACT) WITH ASSIGNMENT,O,signature (owner),contractor & assigned to party,N,"Find any one of the following 5 ways to know this is correct title & instructions,  otherwise use instructions above.
1.       Assignment or Transfer is in the Title of document (search doc. for assignee)
2.       Deed of Trust or Trust Deed is in the Title of document (search doc. for assignee)
3.       Lender found in the 1st paragraph 
4.       Paragraph after signatures, showing assignment & signed by contractor.
5.    Assignment document attached to end of Contract."
LC,MECHANICS LIEN AFFIDAVIT,O,signatory party (party who is claiming lien),"claimed against (contractor, owner, sub-contractor, supplier)",N,
ML,MECHANICS LIEN CONTRACT  ,O,signature (owner),contractor,N,
RME,MEDICAID ESTATE RECOVERY PROGRAM NOTICE OF WITHDRAWAL OF CLAIM ,O,signatory party,claimed against party being released,N,
MED,MEDICAL LIEN,O,signatory party ,claimed against,N,*This code handles all types of Medical Liens Except Hospital Liens
MEM,MEMORANDUM  (General - If type cannot be determined or multiple docs. Combined),O,all signatures,"other parties  or ""PUBLIC""",N,"(Use MEM code only when cannot identify doc. being memorandized or  other special circumstances described below).
**Except for the few following listed type all memorandums will use instructions below
Determine what type of document is being memorandized and use type code & instructions for Original Document.
 If type cannot be determined or multiple docs. combined, use the following
Grantor- all signatures
 Grantee- other parties  or PUBLIC"
MEM,MEMORANDUM (IF Proper Party Does Not Sign Document ),O,assignor,assignee,N,"(Use MEM code only when cannot identify doc. being memorandized or  other special circumstances described below).
**Except for the few following listed type all memorandums will use instructions below
Determine what type of document is being memorandized and use type code & instructions for Original Document.
IF Proper Party Does Not Sign Document (ie: if Memo. of Assignment and the signatory
 party is not the Assignor); Change Type to: MEM -Grantor – signatory party  Grantee – other party
"
MEL,"MEMORANDUM OF LEASE or OIL,GAS & MINERAL LEASE, LEASE EXTENSION, LEASE OPTION or EXERCISE OF LEASE OPTION, LEASE RATIFICATION",O,signatory party  ,other party,N,"*If both parties sign index as follows:  Grantor- Lessor    Grantee- Lessee
*needs reference if extension or ratification
*Informational – Lessor is usually the Owner of the Land
 -- Lessee would be the Owner of the Lease"
AG,MEMORANDUM OF NEGATIVE PLEDGE AGREEMENT,O,signature,other party  (pledged unto),N,
MT,MEMORANDUM OF TRUST AGREEMENT,O,signature and Trustor if shown,"other party & Trust Name, if shown",N,
DE,MEMORANDUM OF TRUST AND DEED AND STOCK TRANSFER POWER,O,signature  (Trustor),Trust Name and Trustee,N,
MER,MERGER,O,All business names,Surviving business ,N,
AF,MILITARY AFFIDAVIT,O,signature,"""PUBLIC""",N,
MID,MILITARY DISCHARGE,O,branch of Military prefaced by US  (ex. U S NAVY),party discharged,N,
ASM,MINERAL & ROYALTY TRANSFER,O,signatory party ,"conveyed, sold to",N,*needs reference IF a Transfer
ASM,MINERAL & ROYALTY TRANSFER & ASSIGNMENT OF OVERRIDING  ROYALTY,O,signatory party ,"conveyed, sold to",N,*needs reference IF a Transfer
MD,MINERAL AND ROYALTY DEED,O,signatory party ,"conveyed, sold to",N,*needs reference IF a Transfer
MC,MINERAL AWARD FROM STATE,O,signatory party ,"conveyed, sold to",N,*needs reference IF a Transfer/Conveyance 
MC,MINERAL CONVEYANCE,O,signatory party ,"conveyed, sold to",N,*needs reference IF a Transfer/Conveyance 
MD,"MINERAL DEED   (General Warranty, Gift, Special Warranty or Warranty Mineral Deed)",O,signatory party ,"conveyed, sold to",N,*needs reference IF a Transfer
OGL,MINERAL LEASE,O,lessor (sig.),lessee,N,
MIN,"MINUTES   (IF Resolving to do something, use Resolution code RL)",O,signatory party (Business),"""PUBLIC""",N,
M,MISCELLANEOUS,O,as needed,as needed,N,"List of Titles in Matrix using this code are as follows:
  BY-LAWS;  CHARTER;    DIRECTIVE TO PHYSICIAN; DONATION; ESTRAY;   LIVING WILL;  RECEIPT; REPORT; TRADE NAME.
  See Individual Listing for Grantor – Grantee Instructions
  IF THESE ARE CERTIFIED COPIES, INDEX AS TYPE CC

"
ADD,MOBILE HOME RIDER TO SECURITY INSTRUMENT,O,signatory party ,other party,N,
ADD,MOBILE HOME RIDER TO SECURITY INSTRUMENT,O,signatory party ,other party,N,
ADD,MOBILE HOME RIDER TO SECURITY INSTRUMENT,O,signatory party ,other party,N,
MOD,MODIFICATION,O,"borrower, *If signing parties are borrower and lender.  *Otherwise -- Grantor-signatory party",lender (take from sig. area only) *If signing parties are borrower and lender.  *Otherwise -- Grantee-other party,N,
ADML,MODIFICATION & AGREEMENT FOR ADDITIONAL WORK UNDER BUILDERS & RESIDENTIAL CONSTRUCTION LIEN CONTRACT,O,owner,contractor ,N,"IF Owner, Contractors & Lender sign - Grantor- owner & Old contractor & Grantee- lender & New contractor
If No New Contractor Signing - Grantor- owner & Grantee- lender & contractor"
MOD,MODIFICATION & ASSUMPTION AGREEMENT,O,borrower & purchaser,lender (take from sig. area only) and assumed parties,N,
MOD,MODIFICATION & EXTENSION AGREEMENT,O,"borrower, *If signing parties are borrower and lender.  *Otherwise -- Grantor-signatory party",lender (take from sig. area only) *If signing parties are borrower and lender.  *Otherwise -- Grantee-other party,N,
MOD,MODIFICATION & RENEWAL,O,"borrower, *If signing parties are borrower and lender.  *Otherwise -- Grantor-signatory party",lender (take from sig. area only) *If signing parties are borrower and lender.  *Otherwise -- Grantee-other party,N,
MOD,MODIFICATION ASSUMPTION & RELEASE AGREEMENT,O,borrower & purchaser,lender (take from sig. area only) and assumed parties,N,
MOD,MODIFICATION OF DEED OF TRUST,O,"borrower, *If signing parties are borrower and lender.  *Otherwise -- Grantor-signatory party",lender (take from sig. area only) *If signing parties are borrower and lender.  *Otherwise -- Grantee-other party,N,
MOD,MODIFICATION OF LIEN,O,"borrower, *If signing parties are borrower and lender.  *Otherwise -- Grantor-signatory party",lender (take from sig. area only) *If signing parties are borrower and lender.  *Otherwise -- Grantee-other party,N,
MOD,MODIFICATION OF TAX LIEN CONTRACT,O,property owner (signature),Tax Lien Holder,N,
MTG,MORTGAGE,O,borrower (sig.) (mortgagor),lender  (mortgagee),O,
CON,"MORTGAGE / TRUST MODIFICATION, WAIVER & CONSENT",O,"party giving consent (sig.) Lender, Mortgagee","given to, Mortgagor & Lessee",N,
LIC,MORTICIANS LICENSE/CERTIFICATE,O,party issuing,issued to,N,
LC,MOWING LIEN,O,signature (usually a City),claimed against,N,
LC,MUNICIPAL UTILITY LIEN,O,signatory party,claimed against  ,N,
AG,NON-DISTURBANCE AND ATTORNMENT AGREEMENT,O,signature (party agreeing to the non-disturbance Usually the LENDER,"other parties (usually the tenant & property owner, they usually sign  also but would not be grantor)",N,
NOTE,NOTE,O,borrower (sig.)           ,lender  ,O,"*A Note is, in non-real estate language, an IOU. It is a promise to pay.  It does not need $ indexed."
ADML,NOTE MODIFICATION & AGREEMENT FOR ADDITIONAL WORK UNDER BUILDERS & RESIDENTIAL CONSTRUCTION LIEN CONTRACT,O,owner,lender & contractor,N,If No New Contractor Signing
ADML,NOTE MODIFICATION & AGREEMENT FOR ADDITIONAL WORK UNDER BUILDERS & RESIDENTIAL CONSTRUCTION LIEN CONTRACT,O,owner & Old contractor,lender & New contractor,N,"IF Owner, Contractors & Lender sign"
ADML,NOTE MODIFICATION & AGREEMENT FOR ADDITIONAL WORK UNDER BUILDERS & RESIDENTIAL CONSTRUCTION LIEN CONTRACT,O,owner,contractor ,N,
NO,NOTICE,O,signatory party ,"party notified &/Or notified about  Or ""PUBLIC""s",N,*needs reference if available
FC,NOTICE CONCERNING LOAN FORFEITURES,O,signatory party ,Other party,N,
FC,NOTICE CONCERNING LOAN FORFEITURES *IF this deals with Veterans Land Board,O,person forfeiting contract,"""VETERANS LAND BOARD OF THE STATE OF TEXAS"" (or State involved)",N,
ALN,NOTICE OF  LIEN - BY HOMEOWNERS ASSOCIATION,O,claiming lien (sig.) (homeowners association)  ,claimed against,N,
NO,NOTICE OF ACCELERATION,O,signature  (do not add Lender unless doc. shows them as “current Lender”),"defaulting parties  or ""PUBLIC""",N,
NO,NOTICE OF ACCELERATION AND NOTICE OF TRUSTEE’S SALE,O,signature  (do not add Lender unless doc. shows them as “current Lender”),"defaulting parties  or ""PUBLIC""",N,
NO,NOTICE OF ASSIGNMENT OF JUDGMENT (signed by the Assignee),O,Assignee (sig. party),Plaintiff(s) & Defendant(s) of the Judgment,N,*needs reference if available
BR,NOTICE OF BANKRUPTCY PROCEEDINGS (CERTIFIED COPY OF),O,bankrupt party,"""PUBLIC""",N,
NO,NOTICE OF BOND FILING,O,signature (usually the County Clerk) use County & Clerks name ,notified &/Or notified about,N,
NO,NOTICE OF DEMOLITION (ORDER),O,signatory party (usually a City),"property owner & other interested parties (if listed)  or  ""PUBLIC""",N,
LS,NOTICE OF ELECTION TO RENEW LEASE,O,signatory party (LESSOR),lessee,N,"*if both parties sign- Grantor- lessor   Grantee- lessee
IF Lessor does not sign, change Type to = NO Grantor-signature"
NFT,NOTICE OF ERROR IN FILING FEDERAL TAX LIEN,O,"""U S A INTERNAL REVENUE SERVICE""",taxpayer,N,
LS,NOTICE OF EXTENSION OF PRIMARY TERM       ,O,signatory party (LESSOR),lessee,N,"*if both parties sign- Grantor- lessor   Grantee- lessee
IF Lessor does not sign, change Type to = NO Grantor-signature"
LS,NOTICE OF LEASE        ,O,signatory party (LESSOR),lessee,N,"*if both parties sign- Grantor- lessor   Grantee- lessee
IF Lessor does not sign, change Type to = NO Grantor-signature"
LS,NOTICE OF LEASE EXTENSION BY EXERCISE OF OPTION TO EXTEND,O,signatory party (LESSOR),lessee,N,"*if both parties sign- Grantor- lessor   Grantee- lessee
IF Lessor does not sign, change Type to = NO Grantor-signature"
LC,NOTICE OF LIEN AFFIDAVIT/CLAIM/NOTICE (general),O,signatory party ,"claimed against  (contractor, owner, sub-contractor, supplier)",N,
NLF,NOTICE OF LIEN FOR FINE AND/OR RESTITUTION,O,"""U S A""",Defendant,N,
STL,NOTICE OF LIEN FOR UNPAID CONTRIBUTIONS (TAXES) UNDER TEXAS   UNEMPLOYMENT COMPENSATION ACT,O,"government (""TEXAS STATE OF"")",employer who is indebted to the State through the Unemployment Commission,N,
SU,NOTICE OF NON-SUIT,O,Plaintiff,Defendant,N,
NO,NOTICE OF OBLIGATION TO PAY PUBLIC IMPROVEMENT DIST. ASSESSMENT,O,signatory party,"owner  OR ""PUBLIC""",N,*This is Not an Assessment Lien nor a Lien Notice
OGL,"NOTICE OF OIL, GAS & MINERAL LEASE",O,signatory party (LESSOR),lessee,N,"*if both parties sign- Grantor- lessor   Grantee- lessee
IF Lessor does not sign, change Type to = NO Grantor-signature"
OGL,"NOTICE OF OIL, GAS & MINERAL LEASE ",O,signatory party (LESSOR),lessee,N,"*if both parties sign- Grantor- lessor   Grantee- lessee
IF Lessor does not sign, change Type to = NO Grantor-signature"
NO,NOTICE OF ORDER FOR DEMOLITION,O,signatory party (usually a City),"property owner  or  ""PUBLIC""",N,
NO,NOTICE OF SEIZURE,O,signatory party  ,other party,N,
OD,NOTICE OF SHERRIF’S SALE /PUBLISHERS AFFIDAVIT /ORDER / SHERIFF’S RETURN ,O,Plaintiff,Defendant,N,*use certified copy date as i/date
REA,NOTICE OF TERMINATION OF ASSIGNMENT OF CHILD SUPPORT LIEN,O,signature (usually the State) & party claimed against (Obligor),party support payable to (Obligee) (Not the child),N,
HL,NOTICE OF TEXAS HOSPITAL LIEN,O,signatory party & Hospital (if different from signature),injured person,N,"**Key Hospital name the way it is shown at the signature and/or in the 
       body of the document.  Don’t bother with the Letterhead unless that is
    the only place the Hospital Name is shown.  Often the signatory party is a
        representative or agent and should be indexed."
NO,NOTICE OF TRUSTEE’S SALE,O,signature  (do not add Lender unless doc. shows them as “current Lender”),"defaulting parties  or ""PUBLIC""",N,
AF,NOTICE OF TRUSTEE’S SALE AFFIDAVIT,O,signature ,"""PUBLIC""",N,"Grantor- signature (if states at sig. or in body, that party is officer of Company, key Company 
Name Only)  (if states at sig. or in body, that party is or has been acting as Trustee, key as 
Trustee)"
ALN,NOTICE OF UNPAID ASSESSMENTS SECURED BY LIEN (by Homeowners Association),O,"party claiming lien (Homeowners Association, signatory party.)   ","party claimed against, if no name given, use UNKNOWN",N,
NO,NOTICE OF UTILITY DISTRICT,O,signature ,"other party or ""PUBLIC""",N,If both Seller & Purchaser sign index: Grantor – Seller       Grantee – Purchaser
NO,NOTICE OF UTILITY SECURITY AGREEMENT,O,signatory party    ,"""PUBLIC""",N,
NO,NOTICE OF UTILITY SECURITY INSTRUMENT,O,signatory party    ,"""PUBLIC""",N,
NO,NOTICE OF WATER & SEWER SERVICE,O,signature,"other party  Or  ""PUBLIC""",N,
RME,NOTICE OF WITHDRAWAL OF CLAIM BY MEDICARE ESTATE RECOVERY PROGRAM AGAINST THE ESTATE,O,signatory party,claimed against party being released,N,
NO,NOTICE TO OPERATOR Etc. ,O,"""TEXAS RAILROAD COMMISSION""",Operator & other parties (both usually listed on left & right directly below heading of document),N,
LIC,NURSES LICENSE/CERTIFICATE,O,issuing party  ,issued to,N,
OT,OATH,O,party giving oath (sig.),"person &/or Office oath sworn to Or ""PUBLIC"" ",N,
NO,OIL & GAS DIVISION OF THE TEXAS RAILROAD COMMISSION,O,"""TEXAS RAILROAD COMMISSION""",Operator & other parties (both usually listed on left & right directly below heading of document),N,
NO,OIL & GAS DIVISION of the Texas Railroad Commission,O,"""TEXAS RAILROAD COMMISSION""","Operator & other parties (both usually listed on left & right directly below heading of document) **IF no grantee name at all index ""PUBLIC""",N,
OGL,OIL & GAS LEASE,O,lessor (sig.),lessee (leased to),N,
OGL,OIL GAS & MINERAL LEASE,O,lessor (sig.),lessee (leased to),N,
AS,OIL PAYMENT ASSIGNMENT/CONTRACT ,O,signatory party,assigned to party,N,
AS,OIL PRODUCTION PAYMENT/ASSIGNMENT/CONTRACT,O,signatory party,assigned to party,N,
OGL,"OIL, GAS & MINERAL LEASE RATIFICATION",O,lessor (sig.),Current lessee,N,"**IF Lessor does not sign, change Type to =  RAT  Grantor- signature  Grantee- other party"
MEL,"OIL, GAS & MINERAL, SUB OR SURFACE LEASE MEMORANDUM",O,lessor (sig.)    ,Current lessee,N,
AG,OPERATING AGREEMENT,O,Operator,Non-Operator,N,
OP,OPTION,O,granting option (sig.),granted to,N,"*If all sign & no definition made, index all as grantor/grantee"
